sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1085,https://www.draftguru.com.au/players/dwayne_simpson/1,players/D/Dwayne_Simpson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dwayne Simpson,1979,1980,2001,2001,2,2,1998,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1086,https://www.draftguru.com.au/players/dylan_addison/1,players/D/Dylan_Addison.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Addison,1987,1987,2006,2014,93,93,2005,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1087,https://www.draftguru.com.au/players/dylan_buckley/1,players/D/Dylan_Buckley.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Buckley,1993,1993,2013,2018,41,41,2011,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1088,https://www.draftguru.com.au/players/dylan_clarke/1,players/D/Dylan_Clarke.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Clarke,1998,1998,2018,2021,24,24,2016,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1089,https://www.draftguru.com.au/players/dylan_grimes/1,players/D/Dylan_Grimes.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Grimes,1991,1991,2010,2024,234,234,2009,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1090,https://www.draftguru.com.au/players/dylan_mclaren/1,players/D/Dylan_McLaren.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan McLaren,1982,1982,2001,2006,59,59,2000,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1091,https://www.draftguru.com.au/players/dylan_moore/1,players/D/Dylan_Moore.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Moore,1999,1999,2019,2025,126,148,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1092,https://www.draftguru.com.au/players/dylan_patterson/1,players/D/Dylan_Patterson.html,target_not_registered,target_unregistered,insufficient_evidence,TARGET_NOT_REGISTERED_NO_EVIDENCE,,withhold,Dylan Patterson,2007,,,,,5,2025,National,none,TARGET_NOT_REGISTERED,
1093,https://www.draftguru.com.au/players/dylan_roberton/1,players/D/Dylan_Roberton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Roberton,1991,1991,2010,2020,129,129,2009,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1094,https://www.draftguru.com.au/players/dylan_shiel/1,players/D/Dylan_Shiel.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dylan Shiel,1993,1993,2012,2025,234,234,2010,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
